,trees,strength_a,strength_b,strength_c,action_a,action_b,action_c,reward,blame_a,blame_b,blame_c,w,rationality_beta,k
263,2,1,2,3,0,0,0,0.0,0.20366670002296514,0.796333299977035,0.23439531331312186,0.5,1,1
264,2,1,3,1,1,1,1,0.0,0.23439531331312186,0.7343953133131218,0.23439531331312186,0.5,1,1
265,2,1,3,1,1,1,0,1.0,0.23439531331312186,0.48439531331312186,0.5156046866868782,0.5,1,1
266,2,1,3,1,1,0,1,3.0,0.23439531331312186,0.26560468668687814,0.23439531331312186,0.5,1,1
267,2,1,3,1,1,0,0,0.0,0.23439531331312186,0.26560468668687814,0.7656046866868782,0.5,1,1
268,2,1,3,1,0,1,1,1.0,0.5156046866868782,0.48439531331312186,0.23439531331312186,0.5,1,1
269,2,1,3,1,0,1,0,2.0,0.43227135335354483,0.40106197997978854,0.43227135335354483,0.5,1,1
270,2,1,3,1,0,0,1,0.0,0.7656046866868782,0.26560468668687814,0.23439531331312186,0.5,1,1
271,2,1,3,1,0,0,0,0.0,0.5156046866868782,0.26560468668687814,0.5156046866868782,0.5,1,1
272,2,1,3,2,1,1,1,0.0,0.5463332999770348,0.5156046866868782,0.2036667000229651,0.5,1,1
273,2,1,3,2,1,1,0,2.0,0.46299996664370147,0.43227135335354483,0.4629999666437016,0.5,1,1
274,2,1,3,2,1,0,1,3.0,0.7963332999770348,0.23439531331312186,0.2036667000229651,0.5,1,1
275,2,1,3,2,1,0,0,0.0,0.5463332999770348,0.23439531331312186,0.546333299977035,0.5,1,1
276,2,1,3,2,0,1,1,1.0,0.20366670002296514,0.7656046866868782,0.2036667000229651,0.5,1,1
277,2,1,3,2,0,1,0,3.0,0.20366670002296514,0.5156046866868782,0.546333299977035,0.5,1,1
278,2,1,3,2,0,0,1,4.0,0.20366670002296514,0.23439531331312186,0.2036667000229651,0.5,1,1
279,2,1,3,2,0,0,0,0.0,0.20366670002296514,0.23439531331312186,0.796333299977035,0.5,1,1
280,2,1,3,3,1,1,1,0.0,0.5463332999770348,0.48439531331312186,0.48439531331312186,0.5,1,1
281,2,1,3,3,1,1,0,3.0,0.7963332999770348,0.40106197997978854,0.43227135335354483,0.5,1,1
282,2,1,3,3,1,0,1,3.0,0.7963332999770348,0.43227135335354483,0.40106197997978854,0.5,1,1
283,2,1,3,3,1,0,0,0.0,0.5463332999770348,0.5156046866868782,0.5156046866868782,0.5,1,1
284,2,1,3,3,0,1,1,1.0,0.20366670002296514,0.7343953133131218,0.7343953133131218,0.5,1,1
