trees,strength_a,strength_b,strength_c,action_a,action_b,action_c,reward,blame_a,blame_b,blame_c,Unnamed: 0,max,post,model,trial_id
2,3,3,3,1,1,0,3.0,1.0,1.0,0.3333333333333333,425,6.0,0.1542807729819873,pivotality,9
2,3,3,1,0,1,1,3.0,0.3333333333333333,0.3333333333333333,1.0,412,4.0,0.15432983201200115,pivotality,10
2,3,3,2,0,1,1,3.0,0.0,1.0,0.0,420,6.0,0.15429791362449663,pivotality,10
2,3,3,3,0,1,1,3.0,0.3333333333333333,1.0,1.0,428,6.0,0.6913722543635022,pivotality,10
1,1,3,2,1,1,0,2.0,0.0,1.0,0.0,57,5.0,0.8145607154816197,pivotality,11
1,1,3,2,0,1,0,3.0,0.5,0.5,0.0,61,5.0,0.1854392845183804,pivotality,11
1,1,2,3,1,0,1,2.0,0.0,0.0,1.0,42,5.0,0.18242552381257032,pivotality,12
1,1,2,3,0,0,1,3.0,0.5,0.0,0.5,46,5.0,0.8175744761874296,pivotality,12
3,3,2,2,0,1,0,0.0,0.5,0.5,0.0,613,4.0,0.8175541625219305,pivotality,13
3,3,2,2,0,0,0,0.0,1.0,0.0,0.0,615,4.0,0.18244583747806953,pivotality,13
3,2,3,2,0,0,1,0.0,0.0,0.5,0.5,566,4.0,0.1854392845183804,pivotality,14
3,2,3,2,0,0,0,0.0,0.0,1.0,0.0,567,4.0,0.8145607154816197,pivotality,14
3,3,1,2,0,1,1,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,588,3.0,0.18242552380635635,pivotality,15
3,3,1,2,0,0,1,0.0,0.5,1.0,0.5,590,3.0,0.8175744761936437,pivotality,15
3,2,3,1,1,0,1,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,554,3.0,0.18242552380635635,pivotality,16
3,2,3,1,1,0,0,0.0,0.5,0.5,1.0,555,3.0,0.8175744761936437,pivotality,16
1,1,2,1,1,0,1,2.0,1.0,0.0,1.0,26,3.0,0.17198768292266403,pivotality,17
2,1,2,1,1,0,1,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,242,2.0,0.03918578340828695,pivotality,17
3,1,2,1,1,0,1,0.0,0.5,0.5,0.5,458,1.0,0.038826533669048945,pivotality,17
1,1,2,1,0,0,1,3.0,0.5,0.0,0.5,30,3.0,0.1719876829226641,pivotality,17
2,1,2,1,0,0,1,0.0,1.0,0.5,0.5,246,2.0,0.03918578340828696,pivotality,17
3,1,2,1,0,0,1,0.0,0.3333333333333333,1.0,0.3333333333333333,462,1.0,0.03882653366904896,pivotality,17
1,1,2,1,1,0,0,3.0,0.5,0.0,0.5,27,3.0,0.1719876829226641,pivotality,17
2,1,2,1,1,0,0,0.0,0.5,0.5,1.0,243,2.0,0.03918578340828696,pivotality,17
3,1,2,1,1,0,0,0.0,0.3333333333333333,1.0,0.3333333333333333,459,1.0,0.03882653366904896,pivotality,17
1,1,2,1,0,0,0,0.0,1.0,0.0,1.0,31,3.0,0.17198768292266414,pivotality,17
2,1,2,1,0,0,0,0.0,0.5,1.0,0.5,247,2.0,0.039185783408286975,pivotality,17
3,1,2,1,0,0,0,0.0,0.5,0.5,0.5,463,1.0,0.03882653366904897,pivotality,17
3,1,1,3,1,1,1,0.0,0.5,0.5,0.0,448,2.0,0.14856363715935358,pivotality,18
3,2,1,3,1,1,1,0.0,0.5,0.5,1.0,520,3.0,0.14856363715935358,pivotality,18
3,3,1,3,1,1,1,0.0,0.5,0.5,0.5,592,4.0,0.08831226329952103,pivotality,18
3,1,2,3,1,1,1,0.0,0.5,0.5,1.0,472,3.0,0.14856363715935358,pivotality,18
3,2,2,3,1,1,1,0.0,0.5,0.5,0.0,544,4.0,0.14856363715935358,pivotality,18
3,3,2,3,1,1,1,0.0,0.5,0.5,0.5,616,5.0,0.08831226329952103,pivotality,18
3,1,3,3,1,1,1,0.0,0.5,0.5,0.5,496,4.0,0.08831226329952103,pivotality,18
3,2,3,3,1,1,1,0.0,0.5,0.5,0.5,568,5.0,0.08831226329952103,pivotality,18
3,3,3,3,1,1,1,0.0,0.5,0.5,0.5,640,6.0,0.05249639816450133,pivotality,18
3,1,1,1,0,1,0,0.0,0.0,0.0,0.0,437,0.0,0.028157283723330075,pivotality,19
3,1,2,1,0,1,0,0.0,1.0,0.0,1.0,461,1.0,0.02818064052272077,pivotality,19
3,1,3,1,0,1,0,2.0,0.0,0.0,0.0,485,2.0,0.12608759956030555,pivotality,19
3,1,1,1,0,0,0,0.0,0.0,0.0,0.0,439,0.0,0.12619219071325627,pivotality,19
3,1,2,1,0,0,0,0.0,0.5,0.5,0.5,463,1.0,0.1262968686258036,pivotality,19
3,1,3,1,0,0,0,0.0,0.0,1.0,0.0,487,2.0,0.5650854168545838,pivotality,19
3,2,1,1,0,0,0,0.0,0.5,0.5,0.5,511,1.0,0.18999858391105262,pivotality,20
3,2,1,2,0,0,0,0.0,0.5,0.5,0.5,519,2.0,0.18999858391105262,pivotality,20
3,2,1,3,0,0,0,0.0,0.5,0.5,1.0,527,3.0,0.6200028321778948,pivotality,20
3,1,1,2,1,1,0,0.0,0.5,0.5,0.5,441,1.0,0.25,pivotality,21
3,1,1,2,0,1,0,0.0,0.3333333333333333,0.3333333333333333,1.0,445,1.0,0.25,pivotality,21
3,1,1,2,1,0,0,0.0,0.3333333333333333,0.3333333333333333,1.0,443,1.0,0.25,pivotality,21
3,1,1,2,0,0,0,0.0,0.5,0.5,0.5,447,1.0,0.25,pivotality,21
1,1,2,2,1,1,1,0.0,0.0,0.5,0.5,32,4.0,0.6535214273674281,pivotality,22
2,1,2,2,1,1,1,0.0,0.5,0.5,0.5,248,3.0,0.1830848783135896,pivotality,22
3,1,2,2,1,1,1,0.0,0.0,1.0,1.0,464,2.0,0.1633936943189821,pivotality,22
1,2,1,2,1,1,1,0.0,0.5,0.0,0.5,80,4.0,0.15428209866666043,pivotality,23
2,2,1,2,1,1,1,0.0,0.5,0.5,0.5,296,3.0,0.6914366650948632,pivotality,23
3,2,1,2,1,1,1,0.0,1.0,0.0,1.0,512,2.0,0.1542812362384763,pivotality,23
1,2,2,1,1,1,1,0.0,0.5,0.5,0.0,96,4.0,0.15674313363314768,pivotality,24
2,2,2,1,1,1,1,0.0,0.5,0.5,0.5,312,3.0,0.15530613467619578,pivotality,24
3,2,2,1,1,1,1,0.0,1.0,1.0,0.0,528,2.0,0.6879507316906566,pivotality,24
1,2,3,1,1,1,1,0.0,0.5,0.5,0.0,120,5.0,0.8175744761874296,pivotality,25
1,2,3,1,1,0,1,3.0,1.0,0.0,0.0,122,5.0,0.18242552381257032,pivotality,25
1,2,1,1,1,0,0,2.0,0.5,0.5,0.5,75,3.0,0.8175744761936437,pivotality,26
1,2,1,1,0,0,0,0.0,0.0,1.0,1.0,79,3.0,0.18242552380635635,pivotality,26
1,1,2,1,0,1,0,2.0,0.5,0.5,0.5,29,3.0,0.8175744761179415,pivotality,27
1,1,2,1,0,0,0,0.0,1.0,0.0,1.0,31,3.0,0.18242552388205852,pivotality,27
3,1,2,3,0,1,1,1.0,0.5,1.0,0.5,476,3.0,0.14914653900486197,pivotality,28
3,1,2,3,0,0,1,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,478,3.0,0.03327912167418782,pivotality,28
3,1,2,3,0,1,0,0.0,1.0,0.5,0.5,477,3.0,0.6684278003160881,pivotality,28
3,1,2,3,0,0,0,0.0,0.5,0.5,1.0,479,3.0,0.14914653900486197,pivotality,28
3,3,1,2,1,0,1,1.0,0.5,0.5,1.0,586,3.0,0.03327914664329392,pivotality,29
3,3,1,2,0,0,1,0.0,0.5,1.0,0.5,590,3.0,0.14914665090852916,pivotality,29
3,3,1,2,1,0,0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,587,3.0,0.1491465140357559,pivotality,29
3,3,1,2,0,0,0,0.0,1.0,0.5,0.5,591,3.0,0.6684276884124208,pivotality,29
2,1,1,2,1,1,0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,225,2.0,0.1491465140357559,pivotality,30
2,1,1,2,0,1,0,0.0,1.0,0.5,0.5,229,2.0,0.6684276884124211,pivotality,30
2,1,1,2,1,0,0,0.0,0.5,1.0,0.5,227,2.0,0.033279146643293914,pivotality,30
2,1,1,2,0,0,0,0.0,0.5,0.5,1.0,231,2.0,0.14914665090852916,pivotality,30
2,2,1,1,0,1,1,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,292,2.0,0.033279121674187825,pivotality,31
2,2,1,1,0,0,1,0.0,0.5,1.0,0.5,294,2.0,0.149146539004862,pivotality,31
2,2,1,1,0,1,0,0.0,0.5,0.5,1.0,293,2.0,0.149146539004862,pivotality,31
2,2,1,1,0,0,0,0.0,1.0,0.5,0.5,295,2.0,0.6684278003160881,pivotality,31
3,1,3,1,1,0,0,0.0,0.5,0.5,0.0,483,2.0,0.653521427373298,pivotality,32
3,1,3,2,1,0,0,0.0,0.5,0.5,1.0,491,3.0,0.16339369431443784,pivotality,32
3,1,3,3,1,0,0,0.0,0.5,0.5,0.5,499,4.0,0.18308487831226422,pivotality,32
3,1,1,3,1,0,0,0.0,0.5,0.0,0.5,451,2.0,0.16339369431443782,pivotality,33
3,1,2,3,1,0,0,0.0,0.5,1.0,0.5,475,3.0,0.653521427373298,pivotality,33
3,1,3,3,1,0,0,0.0,0.5,0.5,0.5,499,4.0,0.18308487831226414,pivotality,33
3,3,1,1,0,1,0,0.0,0.5,0.5,0.0,581,2.0,0.15428256191862202,pivotality,34
3,3,1,2,0,1,0,0.0,0.5,0.5,1.0,589,3.0,0.15428256191862202,pivotality,34
3,3,1,3,0,1,0,0.0,0.5,0.5,0.5,597,4.0,0.6914348761627559,pivotality,34
3,3,3,1,1,1,0,1.0,1.0,1.0,0.0,625,4.0,0.8175744761936437,pivotality,35
3,3,3,1,0,1,0,4.0,0.5,0.5,0.0,629,4.0,0.18242552380635635,pivotality,35
1,1,1,3,0,0,0,0.0,0.6534546981505565,0.6534546981505565,0.13579352799599143,23,4.0,0.6913191492872206,mixture,0
2,1,1,3,0,0,0,0.0,0.5366773177372886,0.5366773177372886,0.4727499479473416,239,3.0,0.15436919012370598,mixture,0
3,1,1,3,0,0,0,0.0,0.36259898096208176,0.36259898096208176,0.7013418601705906,455,2.0,0.15431166058907334,mixture,0
1,3,1,1,0,0,0,0.0,0.13579352799599143,0.6534546981505563,0.6534546981505563,151,4.0,0.5767405499549411,mixture,1
2,3,1,1,0,0,0,0.0,0.4727499479473416,0.5366773177372886,0.5366773177372886,367,3.0,0.2455097154492372,mixture,1
3,3,1,1,0,0,0,0.0,0.7013418601705906,0.3625989809620818,0.3625989809620818,583,2.0,0.17774973459582177,mixture,1
1,1,3,1,0,0,0,0.0,0.6534546981505563,0.13579352799599143,0.6534546981505563,55,4.0,0.15428093359641626,mixture,2
2,1,3,1,0,0,0,0.0,0.5366773177372886,0.4727499479473416,0.5366773177372886,271,3.0,0.15428123260532262,mixture,2
3,1,3,1,0,0,0,0.0,0.3625989809620818,0.7013418601705906,0.3625989809620818,487,2.0,0.6914378337982611,mixture,2
1,1,1,3,1,1,1,0.0,0.39654530184944353,0.39654530184944353,0.8142064720040085,16,4.0,0.675509600875597,mixture,3
2,1,1,3,1,1,1,0.0,0.41332268226271146,0.41332268226271146,0.5272500520526584,232,3.0,0.16620978771195513,mixture,3
3,1,1,3,1,1,1,0.0,0.5874010190379182,0.5874010190379182,0.2986581398294094,448,2.0,0.15828061141244779,mixture,3
1,3,1,1,1,1,1,0.0,0.8142064720040085,0.39654530184944364,0.39654530184944364,144,4.0,0.685560764866636,mixture,4
2,3,1,1,1,1,1,0.0,0.5272500520526584,0.41332268226271146,0.41332268226271146,360,3.0,0.15865367885299503,mixture,4
3,3,1,1,1,1,1,0.0,0.2986581398294094,0.5874010190379182,0.5874010190379182,576,2.0,0.155785556280369,mixture,4
1,1,3,1,1,1,1,0.0,0.39654530184944364,0.8142064720040085,0.39654530184944364,48,4.0,0.15428080115100787,mixture,5
2,1,3,1,1,1,1,0.0,0.41332268226271146,0.5272500520526584,0.41332268226271146,264,3.0,0.15428085359202418,mixture,5
3,1,3,1,1,1,1,0.0,0.5874010190379182,0.2986581398294094,0.5874010190379182,480,2.0,0.691438345256968,mixture,5
2,1,2,3,1,1,0,3.0,0.7034110465818562,0.2788952289590578,0.34587034585571685,257,4.0,0.2879643418264017,mixture,6
2,2,2,3,1,1,0,3.0,0.5419218270502039,0.5419218270502039,0.19113834854499637,329,5.0,0.18423523441309525,mixture,6
2,3,2,3,1,1,0,3.0,0.7614455183227217,0.3293150372050353,0.23855448167727833,401,6.0,0.5278004237605031,mixture,6
2,3,1,2,0,1,1,3.0,0.34587034585571685,0.7034110465818562,0.2788952289590578,372,4.0,0.15692093250819833,mixture,7
2,3,2,2,0,1,1,3.0,0.19113834854499637,0.541921827050204,0.541921827050204,396,5.0,0.6852351852512478,mixture,7
2,3,3,2,0,1,1,3.0,0.23855448167727833,0.7614455183227217,0.3293150372050353,420,6.0,0.157843882240554,mixture,7
2,3,3,1,1,0,1,3.0,0.4457916423189632,0.5208750243477035,0.7091655994183151,410,4.0,0.6603742911760774,mixture,8
2,3,3,2,1,0,1,3.0,0.7614455183227217,0.23855448167727833,0.3293150372050353,418,6.0,0.1618494238589981,mixture,8
