"","sID","trial","trial_ix","A_strength","B_strength","C_strength","A_choice","B_choice","C_choice","trees","fish"
"221",6,31,"15","???","???","???","???","trees","???","???","???"
"222",6,32,"24","???","???","???","???","???","???","1 tree","???"
"223",6,33,"7","???","2","???","???","???","???","???","???"
"224",6,34,"4","???","???","???","???","???","???","1 tree","???"
"225",6,35,"1","???","???","???","???","???","???","2 trees","???"
"226",6,36,"22","???","???","???","???","???","???","2 trees","???"
"227",6,37,"17","???","???","???","fish","???","fish","1 tree","???"
"228",6,38,"32","???","???","1","???","???","???","???","???"
"229",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",7,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",7,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",7,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",7,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",7,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",7,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",7,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",7,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",7,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",7,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",7,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",7,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",7,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",7,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",7,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",7,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",8,1,"14","???","???","???","???","???","fish","???","???"
"268",8,2,"18","1","2","???","???","???","???","???","???"
"269",8,3,"7","???","2","???","???","???","???","???","???"
