participant,trial,question,choice
10,17,c_choice,trees
10,18,a_choice,fish
10,18,c_choice,trees
10,18,trees,2
10,19,a_strength,1
10,19,b_strength,1
10,20,b_strength,3
10,20,b_choice,fish
10,21,c_strength,3
10,22,a_choice,trees
10,22,b_choice,fish
10,23,trees,2
10,24,trees,3
10,25,trees,3
10,26,b_choice,trees
10,27,a_choice,trees
10,28,b_choice,fish
10,29,b_choice,trees
10,29,c_choice,trees
10,30,a_choice,fish
10,30,c_choice,trees
10,31,a_choice,trees
10,31,b_choice,fish
10,32,b_choice,fish
10,32,c_choice,fish
10,33,c_strength,1
10,34,b_strength,3
10,35,c_strength,2
10,36,a_choice,trees
11,1,trees,1
11,2,trees,1
11,3,trees,1
11,4,trees,3
11,5,trees,1
11,6,trees,3
11,7,a_strength,1
11,8,b_strength,2
11,9,c_strength,1
11,10,b_strength,1
11,11,c_strength,1
11,12,a_choice,trees
11,13,a_choice,trees
11,14,b_choice,fish
11,15,c_choice,fish
11,16,b_choice,fish
11,17,c_choice,trees
11,18,a_choice,fish
11,18,c_choice,fish
11,18,trees,3
11,19,a_strength,1
11,19,b_strength,1
11,20,b_strength,3
11,20,b_choice,fish
11,21,c_strength,3
11,22,a_choice,fish
11,22,b_choice,trees
11,23,trees,3
11,24,trees,3
11,25,trees,1
11,26,b_choice,trees
11,27,a_choice,fish
11,28,b_choice,trees
11,29,b_choice,fish
11,29,c_choice,fish
11,30,a_choice,fish
11,30,c_choice,trees
11,31,a_choice,fish
11,31,b_choice,trees
11,32,b_choice,trees
11,32,c_choice,fish
11,33,c_strength,2
11,34,b_strength,2
11,35,c_strength,2
11,36,a_choice,trees
18,1,trees,1
18,2,trees,2
18,3,trees,1
18,4,trees,3
18,5,trees,3
18,6,trees,2
18,7,a_strength,2
18,8,b_strength,1
18,9,c_strength,3
18,10,b_strength,1
18,11,c_strength,3
18,12,a_choice,fish
18,13,a_choice,fish
18,14,b_choice,fish
18,15,c_choice,trees
18,16,b_choice,fish
18,17,c_choice,fish
18,18,a_choice,trees
18,18,c_choice,trees
18,18,trees,1
18,19,a_strength,1
18,19,b_strength,1
18,20,b_strength,3
18,20,b_choice,fish
18,21,c_strength,3
18,22,a_choice,fish
18,22,b_choice,trees
18,23,trees,3
18,24,trees,3
18,25,trees,3
18,26,b_choice,trees
18,27,a_choice,fish
18,28,b_choice,fish
18,29,b_choice,trees
18,29,c_choice,fish
18,30,a_choice,fish
18,30,c_choice,fish
18,31,a_choice,fish
18,31,b_choice,trees
18,32,b_choice,fish
18,32,c_choice,fish
18,33,c_strength,1
18,34,b_strength,3
18,35,c_strength,2
18,36,a_choice,fish
19,1,trees,1
19,2,trees,3
19,3,trees,3
19,4,trees,2
19,5,trees,3
19,6,trees,1
19,7,a_strength,3
19,8,b_strength,2
19,9,c_strength,3
19,10,b_strength,2
19,11,c_strength,3
19,12,a_choice,trees
19,13,a_choice,fish
19,14,b_choice,fish
19,15,c_choice,trees
19,16,b_choice,trees
19,17,c_choice,fish
19,18,a_choice,fish
19,18,c_choice,fish
19,18,trees,2
19,19,a_strength,2
19,19,b_strength,2
19,20,b_strength,3
19,20,b_choice,trees
19,21,c_strength,3
19,22,a_choice,fish
19,22,b_choice,trees
19,23,trees,1
19,24,trees,2
19,25,trees,2
19,26,b_choice,fish
19,27,a_choice,trees
19,28,b_choice,trees
19,29,b_choice,fish
19,29,c_choice,trees
19,30,a_choice,trees
19,30,c_choice,fish
19,31,a_choice,trees
19,31,b_choice,trees
19,32,b_choice,trees
19,32,c_choice,trees
19,33,c_strength,1
19,34,b_strength,3
19,35,c_strength,2
19,36,a_choice,fish
20,1,trees,1
20,2,trees,1
20,3,trees,3
20,4,trees,1
20,5,trees,3
20,6,trees,3
20,7,a_strength,3
20,8,b_strength,2
20,9,c_strength,1
20,10,b_strength,1
20,11,c_strength,3
20,12,a_choice,trees
20,13,a_choice,fish
20,14,b_choice,trees
20,15,c_choice,fish
20,16,b_choice,fish
20,17,c_choice,fish
20,18,a_choice,fish
20,18,c_choice,fish
20,18,trees,1
20,19,a_strength,1
20,19,b_strength,2
20,20,b_strength,3
20,20,b_choice,fish
20,21,c_strength,3
20,22,a_choice,fish
20,22,b_choice,trees
20,23,trees,3
20,24,trees,3
20,25,trees,2
20,26,b_choice,trees
20,27,a_choice,fish
20,28,b_choice,trees
20,29,b_choice,trees
20,29,c_choice,fish
20,30,a_choice,fish
20,30,c_choice,trees
20,31,a_choice,fish
20,31,b_choice,trees
20,32,b_choice,fish
20,32,c_choice,fish
20,33,c_strength,2
20,34,b_strength,3
20,35,c_strength,2
20,36,a_choice,trees
21,1,trees,3
21,2,trees,3
21,3,trees,3
21,4,trees,2
21,5,trees,3
21,6,trees,2
21,7,a_strength,1
21,8,b_strength,1
21,9,c_strength,2
21,10,b_strength,1
21,11,c_strength,1
21,12,a_choice,trees
21,13,a_choice,fish
21,14,b_choice,fish
21,15,c_choice,trees
21,16,b_choice,fish
21,17,c_choice,fish
21,18,a_choice,fish
21,18,c_choice,trees
21,18,trees,3
21,19,a_strength,2
21,19,b_strength,1
21,20,b_strength,3
21,20,b_choice,fish
21,21,c_strength,3
21,22,a_choice,trees
21,22,b_choice,trees
21,23,trees,3
21,24,trees,3
21,25,trees,3
21,26,b_choice,trees
21,27,a_choice,trees
21,28,b_choice,trees
21,29,b_choice,fish
21,29,c_choice,trees
21,30,a_choice,trees
21,30,c_choice,fish
21,31,a_choice,trees
21,31,b_choice,trees
21,32,b_choice,trees
21,32,c_choice,trees
21,33,c_strength,3
21,34,b_strength,3
21,35,c_strength,2
21,36,a_choice,fish
24,1,trees,1
24,2,trees,1
24,3,trees,1
24,4,trees,3
24,5,trees,3
24,6,trees,3
24,7,a_strength,1
24,8,b_strength,2
24,9,c_strength,1
24,10,b_strength,2
24,11,c_strength,2
24,12,a_choice,fish
24,13,a_choice,fish
24,14,b_choice,trees
24,15,c_choice,trees
24,16,b_choice,trees
24,17,c_choice,trees
24,18,a_choice,trees
24,18,c_choice,trees
24,18,trees,2
24,19,a_strength,2
24,19,b_strength,1
24,20,b_strength,3
24,20,b_choice,trees
24,21,c_strength,1
24,22,a_choice,trees
24,22,b_choice,trees
24,23,trees,3
24,24,trees,3
24,25,trees,3
24,26,b_choice,fish
24,27,a_choice,trees
24,28,b_choice,trees
24,29,b_choice,fish
24,29,c_choice,trees
24,30,a_choice,trees
24,30,c_choice,fish
24,31,a_choice,trees
24,31,b_choice,trees
24,32,b_choice,trees
24,32,c_choice,trees
24,33,c_strength,3
24,34,b_strength,1
24,35,c_strength,2
24,36,a_choice,fish
27,1,trees,2
27,2,trees,1
27,3,trees,3
27,4,trees,1
27,5,trees,2
27,6,trees,3
27,7,a_strength,3
27,8,b_strength,2
27,9,c_strength,1
27,10,b_strength,2
27,11,c_strength,3
27,12,a_choice,trees
27,13,a_choice,fish
27,14,b_choice,trees
27,15,c_choice,fish
27,16,b_choice,fish
27,17,c_choice,fish
27,18,a_choice,fish
27,18,c_choice,fish
27,18,trees,1
27,19,a_strength,2
27,19,b_strength,2
27,20,b_strength,3
27,20,b_choice,fish
27,21,c_strength,3
27,22,a_choice,fish
27,22,b_choice,fish
27,23,trees,1
27,24,trees,3
27,25,trees,1
27,26,b_choice,trees
27,27,a_choice,trees
27,28,b_choice,trees
27,29,b_choice,trees
27,29,c_choice,fish
27,30,a_choice,fish
27,30,c_choice,trees
27,31,a_choice,fish
27,31,b_choice,trees
27,32,b_choice,fish
27,32,c_choice,fish
27,33,c_strength,1
27,34,b_strength,3
27,35,c_strength,2
27,36,a_choice,fish
29,1,trees,1
29,2,trees,1
29,3,trees,3
29,4,trees,1
29,5,trees,1
29,6,trees,3
29,7,a_strength,1
29,8,b_strength,1
29,9,c_strength,1
29,10,b_strength,1
29,11,c_strength,3
29,12,a_choice,trees
29,13,a_choice,trees
29,14,b_choice,fish
29,15,c_choice,fish
29,16,b_choice,fish
29,17,c_choice,trees
29,18,a_choice,trees
29,18,c_choice,trees
29,18,trees,3
29,19,a_strength,2
29,19,b_strength,2
29,20,b_strength,1
29,20,b_choice,trees
29,21,c_strength,3
29,22,a_choice,fish
29,22,b_choice,fish
29,23,trees,2
29,24,trees,2
29,25,trees,1
29,26,b_choice,trees
29,27,a_choice,trees
29,28,b_choice,trees
29,29,b_choice,trees
29,29,c_choice,fish
29,30,a_choice,fish
29,30,c_choice,trees
29,31,a_choice,trees
29,31,b_choice,fish
29,32,b_choice,fish
29,32,c_choice,fish
29,33,c_strength,1
29,34,b_strength,3
29,35,c_strength,2
29,36,a_choice,trees
32,1,trees,1
32,2,trees,2
32,3,trees,3
32,4,trees,2
32,5,trees,1
32,6,trees,1
32,7,a_strength,2
32,8,b_strength,1
32,9,c_strength,2
32,10,b_strength,2
32,11,c_strength,2
32,12,a_choice,trees
32,13,a_choice,fish
32,14,b_choice,trees
32,15,c_choice,fish
32,16,b_choice,trees
32,17,c_choice,trees
32,18,a_choice,fish
32,18,c_choice,fish
32,18,trees,1
32,19,a_strength,2
32,19,b_strength,2
32,20,b_strength,3
32,20,b_choice,fish
32,21,c_strength,3
32,22,a_choice,fish
32,22,b_choice,trees
32,23,trees,3
32,24,trees,3
32,25,trees,1
32,26,b_choice,trees
32,27,a_choice,trees
32,28,b_choice,fish
32,29,b_choice,trees
32,29,c_choice,fish
32,30,a_choice,fish
32,30,c_choice,trees
32,31,a_choice,trees
32,31,b_choice,fish
32,32,b_choice,trees
32,32,c_choice,trees
32,33,c_strength,1
32,34,b_strength,3
32,35,c_strength,2
32,36,a_choice,trees
36,1,trees,1
36,2,trees,1
36,3,trees,3
36,4,trees,1
36,5,trees,1
36,6,trees,3
36,7,a_strength,3
36,8,b_strength,2
36,9,c_strength,1
36,10,b_strength,2
36,11,c_strength,3
36,12,a_choice,trees
36,13,a_choice,fish
36,14,b_choice,trees
36,15,c_choice,fish
36,16,b_choice,fish
36,17,c_choice,fish
36,18,a_choice,fish
36,18,c_choice,fish
36,18,trees,1
36,19,a_strength,2
36,19,b_strength,2
36,20,b_strength,3
36,20,b_choice,fish
36,21,c_strength,3
36,22,a_choice,trees
36,22,b_choice,fish
36,23,trees,1
36,24,trees,3
36,25,trees,1
36,26,b_choice,trees
36,27,a_choice,trees
36,28,b_choice,fish
36,29,b_choice,trees
36,29,c_choice,fish
36,30,a_choice,fish
36,30,c_choice,fish
36,31,a_choice,fish
36,31,b_choice,trees
36,32,b_choice,trees
36,32,c_choice,fish
36,33,c_strength,1
36,34,b_strength,2
36,35,c_strength,2
36,36,a_choice,trees
37,1,trees,2
37,2,trees,1
37,3,trees,2
37,4,trees,1
37,5,trees,1
37,6,trees,3
37,7,a_strength,3
37,8,b_strength,2
37,9,c_strength,1
37,10,b_strength,2
37,11,c_strength,3
37,12,a_choice,fish
37,13,a_choice,fish
37,14,b_choice,fish
37,15,c_choice,fish
37,16,b_choice,trees
37,17,c_choice,fish
37,18,a_choice,trees
37,18,c_choice,trees
37,18,trees,1
37,19,a_strength,3
37,19,b_strength,3
37,20,b_strength,3
37,20,b_choice,fish
37,21,c_strength,3
37,22,a_choice,trees
37,22,b_choice,trees
37,23,trees,3
37,24,trees,3
37,25,trees,1
37,26,b_choice,trees
37,27,a_choice,fish
37,28,b_choice,trees
37,29,b_choice,fish
37,29,c_choice,trees
37,30,a_choice,fish
37,30,c_choice,trees
37,31,a_choice,fish
37,31,b_choice,fish
37,32,b_choice,fish
37,32,c_choice,fish
37,33,c_strength,2
37,34,b_strength,2
37,35,c_strength,2
37,36,a_choice,fish
38,1,trees,1
38,2,trees,1
38,3,trees,1
38,4,trees,1
38,5,trees,1
38,6,trees,3
38,7,a_strength,3
38,8,b_strength,1
38,9,c_strength,1
38,10,b_strength,1
38,11,c_strength,3
38,12,a_choice,trees
38,13,a_choice,fish
38,14,b_choice,trees
38,15,c_choice,fish
38,16,b_choice,fish
38,17,c_choice,fish
38,18,a_choice,fish
38,18,c_choice,fish
38,18,trees,1
38,19,a_strength,2
38,19,b_strength,2
38,20,b_strength,3
38,20,b_choice,fish
38,21,c_strength,3
38,22,a_choice,trees
38,22,b_choice,trees
38,23,trees,1
38,24,trees,2
38,25,trees,1
38,26,b_choice,trees
38,27,a_choice,trees
38,28,b_choice,fish
38,29,b_choice,fish
38,29,c_choice,trees
38,30,a_choice,fish
38,30,c_choice,trees
38,31,a_choice,fish
38,31,b_choice,fish
38,32,b_choice,fish
38,32,c_choice,fish
38,33,c_strength,1
38,34,b_strength,3
38,35,c_strength,3
38,36,a_choice,fish
39,1,trees,3
39,2,trees,2
39,3,trees,1
39,4,trees,3
39,5,trees,3
39,6,trees,2
39,7,a_strength,3
39,8,b_strength,1
39,9,c_strength,1
39,10,b_strength,2
39,11,c_strength,2
39,12,a_choice,fish
39,13,a_choice,trees
39,14,b_choice,trees
39,15,c_choice,trees
39,16,b_choice,trees
39,17,c_choice,fish
39,18,a_choice,trees
39,18,c_choice,fish
39,18,trees,1
39,19,a_strength,3
39,19,b_strength,1
39,20,b_strength,3
39,20,b_choice,trees
39,21,c_strength,1
39,22,a_choice,fish
39,22,b_choice,fish
39,23,trees,3
39,24,trees,3
39,25,trees,3
39,26,b_choice,fish
39,27,a_choice,trees
39,28,b_choice,trees
39,29,b_choice,fish
39,29,c_choice,trees
39,30,a_choice,trees
39,30,c_choice,fish
39,31,a_choice,fish
39,31,b_choice,fish
39,32,b_choice,fish
39,32,c_choice,fish
39,33,c_strength,1
39,34,b_strength,1
39,35,c_strength,3
39,36,a_choice,fish
40,1,trees,3
40,2,trees,3
40,3,trees,2
40,4,trees,1
40,5,trees,2
40,6,trees,2
40,7,a_strength,2
40,8,b_strength,3
40,9,c_strength,2
40,10,b_strength,3
40,11,c_strength,3
40,12,a_choice,fish
40,13,a_choice,fish
40,14,b_choice,trees
40,15,c_choice,fish
40,16,b_choice,fish
40,17,c_choice,fish
40,18,a_choice,trees
40,18,c_choice,fish
40,18,trees,2
40,19,a_strength,1
40,19,b_strength,2
40,20,b_strength,3
40,20,b_choice,fish
40,21,c_strength,1
40,22,a_choice,trees
40,22,b_choice,fish
40,23,trees,3
40,24,trees,3
40,25,trees,1
40,26,b_choice,fish
40,27,a_choice,fish
40,28,b_choice,trees
40,29,b_choice,trees
40,29,c_choice,fish
40,30,a_choice,trees
40,30,c_choice,fish
40,31,a_choice,fish
40,31,b_choice,trees
40,32,b_choice,fish
40,32,c_choice,trees
40,33,c_strength,2
40,34,b_strength,2
40,35,c_strength,2
40,36,a_choice,trees
41,1,trees,1
41,2,trees,2
41,3,trees,3
41,4,trees,2
41,5,trees,1
41,6,trees,3
41,7,a_strength,1
41,8,b_strength,2
41,9,c_strength,2
41,10,b_strength,1
41,11,c_strength,3
41,12,a_choice,trees
41,13,a_choice,fish
41,14,b_choice,trees
41,15,c_choice,fish
41,16,b_choice,fish
41,17,c_choice,fish
41,18,a_choice,fish
41,18,c_choice,fish
41,18,trees,1
41,19,a_strength,2
41,19,b_strength,2
41,20,b_strength,3
41,20,b_choice,fish
41,21,c_strength,3
41,22,a_choice,trees
41,22,b_choice,trees
41,23,trees,2
41,24,trees,3
41,25,trees,2
41,26,b_choice,trees
41,27,a_choice,fish
41,28,b_choice,fish
41,29,b_choice,trees
41,29,c_choice,fish
41,30,a_choice,fish
41,30,c_choice,fish
41,31,a_choice,trees
41,31,b_choice,fish
41,32,b_choice,fish
41,32,c_choice,trees
41,33,c_strength,1
41,34,b_strength,3
41,35,c_strength,2
41,36,a_choice,trees
43,1,trees,1
43,2,trees,1
43,3,trees,1
43,4,trees,2
43,5,trees,1
43,6,trees,3
43,7,a_strength,1
43,8,b_strength,1
43,9,c_strength,1
43,10,b_strength,2
43,11,c_strength,1
43,12,a_choice,fish
43,13,a_choice,fish
43,14,b_choice,trees
43,15,c_choice,fish
43,16,b_choice,fish
43,17,c_choice,fish
43,18,a_choice,trees
43,18,c_choice,trees
43,18,trees,1
43,19,a_strength,2
43,19,b_strength,2
43,20,b_strength,3
43,20,b_choice,fish
43,21,c_strength,3
43,22,a_choice,fish
43,22,b_choice,trees
43,23,trees,1
43,24,trees,3
43,25,trees,1
43,26,b_choice,trees
43,27,a_choice,trees
43,28,b_choice,fish
43,29,b_choice,trees
43,29,c_choice,fish
43,30,a_choice,fish
43,30,c_choice,trees
43,31,a_choice,trees
43,31,b_choice,trees
43,32,b_choice,trees
43,32,c_choice,trees
43,33,c_strength,1
43,34,b_strength,3
43,35,c_strength,1
43,36,a_choice,trees
44,1,trees,1
44,2,trees,1
44,3,trees,3
44,4,trees,1
44,5,trees,1
44,6,trees,3
44,7,a_strength,3
44,8,b_strength,2
44,9,c_strength,1
44,10,b_strength,2
44,11,c_strength,1
44,12,a_choice,trees
44,13,a_choice,fish
44,14,b_choice,fish
44,15,c_choice,fish
44,16,b_choice,fish
44,17,c_choice,fish
44,18,a_choice,fish
44,18,c_choice,fish
44,18,trees,1
44,19,a_strength,1
44,19,b_strength,1
44,20,b_strength,3
44,20,b_choice,fish
44,21,c_strength,3
44,22,a_choice,trees
44,22,b_choice,trees
44,23,trees,2
44,24,trees,2
44,25,trees,1
44,26,b_choice,trees
44,27,a_choice,fish
44,28,b_choice,fish
44,29,b_choice,trees
44,29,c_choice,trees
44,30,a_choice,fish
44,30,c_choice,fish
44,31,a_choice,fish
44,31,b_choice,trees
44,32,b_choice,fish
44,32,c_choice,fish
44,33,c_strength,2
44,34,b_strength,3
44,35,c_strength,3
44,36,a_choice,trees
45,1,trees,2
45,2,trees,1
45,3,trees,3
45,4,trees,3
45,5,trees,2
45,6,trees,3
45,7,a_strength,3
45,8,b_strength,2
45,9,c_strength,1
45,10,b_strength,2
45,11,c_strength,3
45,12,a_choice,trees
45,13,a_choice,fish
45,14,b_choice,trees
45,15,c_choice,fish
45,16,b_choice,fish
45,17,c_choice,fish
45,18,a_choice,fish
45,18,c_choice,fish
45,18,trees,1
45,19,a_strength,2
45,19,b_strength,2
45,20,b_strength,3
45,20,b_choice,fish
45,21,c_strength,3
45,22,a_choice,trees
45,22,b_choice,trees
45,23,trees,1
45,24,trees,3
45,25,trees,1
45,26,b_choice,trees
45,27,a_choice,trees
45,28,b_choice,fish
45,29,b_choice,trees
45,29,c_choice,fish
45,30,a_choice,fish
45,30,c_choice,trees
45,31,a_choice,trees
45,31,b_choice,fish
45,32,b_choice,fish
45,32,c_choice,fish
45,33,c_strength,1
45,34,b_strength,2
45,35,c_strength,2
45,36,a_choice,trees
47,1,trees,1
47,2,trees,1
47,3,trees,3
47,4,trees,3
47,5,trees,3
47,6,trees,3
47,7,a_strength,2
47,8,b_strength,2
47,9,c_strength,1
47,10,b_strength,2
47,11,c_strength,2
47,12,a_choice,fish
47,13,a_choice,fish
47,14,b_choice,trees
47,15,c_choice,trees
47,16,b_choice,trees
47,17,c_choice,fish
47,18,a_choice,trees
47,18,c_choice,trees
47,18,trees,3
47,19,a_strength,2
47,19,b_strength,2
47,20,b_strength,3
47,20,b_choice,fish
47,21,c_strength,3
47,22,a_choice,trees
47,22,b_choice,trees
47,23,trees,3
47,24,trees,2
47,25,trees,3
47,26,b_choice,fish
47,27,a_choice,fish
47,28,b_choice,trees
47,29,b_choice,trees
47,29,c_choice,fish
47,30,a_choice,trees
47,30,c_choice,trees
47,31,a_choice,fish
47,31,b_choice,trees
47,32,b_choice,trees
47,32,c_choice,fish
47,33,c_strength,1
47,34,b_strength,3
47,35,c_strength,2
47,36,a_choice,fish
48,1,trees,2
48,2,trees,2
48,3,trees,3
48,4,trees,2
48,5,trees,1
48,6,trees,3
48,7,a_strength,3
48,8,b_strength,2
48,9,c_strength,3
48,10,b_strength,2
48,11,c_strength,1
48,12,a_choice,trees
48,13,a_choice,trees
48,14,b_choice,trees
48,15,c_choice,trees
48,16,b_choice,fish
48,17,c_choice,fish
48,18,a_choice,fish
48,18,c_choice,fish
48,18,trees,2
48,19,a_strength,1
48,19,b_strength,1
48,20,b_strength,3
48,20,b_choice,fish
48,21,c_strength,3
48,22,a_choice,fish
48,22,b_choice,trees
48,23,trees,1
48,24,trees,2
48,25,trees,1
48,26,b_choice,fish
48,27,a_choice,trees
48,28,b_choice,fish
48,29,b_choice,trees
48,29,c_choice,trees
48,30,a_choice,fish
48,30,c_choice,trees
48,31,a_choice,fish
48,31,b_choice,fish
48,32,b_choice,trees
48,32,c_choice,fish
48,33,c_strength,1
48,34,b_strength,1
48,35,c_strength,2
48,36,a_choice,trees
51,1,trees,2
51,2,trees,1
51,3,trees,3
51,4,trees,3
51,5,trees,3
51,6,trees,3
51,7,a_strength,3
51,8,b_strength,2
51,9,c_strength,2
51,10,b_strength,1
51,11,c_strength,3
51,12,a_choice,fish
51,13,a_choice,trees
51,14,b_choice,fish
51,15,c_choice,trees
51,16,b_choice,fish
51,17,c_choice,fish
51,18,a_choice,trees
51,18,c_choice,trees
51,18,trees,1
51,19,a_strength,3
51,19,b_strength,3
51,20,b_strength,3
51,20,b_choice,fish
51,21,c_strength,3
51,22,a_choice,fish
51,22,b_choice,fish
51,23,trees,3
51,24,trees,3
51,25,trees,3
51,26,b_choice,trees
51,27,a_choice,fish
51,28,b_choice,fish
51,29,b_choice,fish
51,29,c_choice,fish
51,30,a_choice,fish
51,30,c_choice,fish
51,31,a_choice,trees
51,31,b_choice,trees
51,32,b_choice,fish
51,32,c_choice,fish
51,33,c_strength,1
51,34,b_strength,3
51,35,c_strength,2
51,36,a_choice,trees
53,1,trees,1
53,2,trees,1
53,3,trees,2
